id,name,category,website_hint,summary,auth_methods,credential_access,api_types,api_breadth,existing_mcp,buildability,main_blocker,confidence,research_status,notes,evidence
56,Firecrawl,"Data, SEO and Scraping",firecrawl.dev,Web data API that turns websites into LLM-ready markdown or structured data.,"[""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Firecrawl supports api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.firecrawl.dev/api-reference/introduction"", ""quote"": ""Authenticate by providing your API key as a Bearer token in the Authorization header."", ""retrieved_at"": ""2026-09-24T19:09:39.428170+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.firecrawl.dev/api-reference/introduction"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Firecrawl API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:09:39.428170+00:00""}]"
57,Bright Data,"Data, SEO and Scraping",brightdata.com,Web data collection platform offering proxies and web scrapers.,"[""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Bright Data supports api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.brightdata.com/api-reference"", ""quote"": ""Bright Data API authenticates requests using Bearer API keys."", ""retrieved_at"": ""2026-09-24T19:13:05.044898+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.brightdata.com/api-reference"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Bright Data API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:05.044898+00:00""}]"
58,Sherlock,"Data, SEO and Scraping",github.com/sherlock-project/sherlock,Open-source CLI tool to hunt down social media accounts by username.,"[""none""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""cli""]",limited,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Sherlock supports none authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://github.com/sherlock-project/sherlock"", ""quote"": ""Sherlock is an open-source Python tool invoked directly via CLI without API keys."", ""retrieved_at"": ""2026-09-24T19:13:06.083739+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://github.com/sherlock-project/sherlock"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Sherlock API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:06.083739+00:00""}]"
59,Waterfall.io,"Data, SEO and Scraping",waterfall.io,B2B contact and company intelligence enrichment engine.,"[""api_key""]","{""self_serve_signup"": ""no"", ""free_or_trial_credentials"": ""no"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,none_found,conditional,Requires sales contact and enterprise subscription contract.,low,needs_review,contact/company intel,"[{""field"": ""auth_methods"", ""claim"": ""Waterfall.io supports api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://waterfall.io"", ""quote"": ""API access requires enterprise agreement and direct credential provisioning."", ""retrieved_at"": ""2026-09-24T19:13:07.915676+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=no, partner_approval=yes."", ""verification"": ""insufficient_evidence"", ""url"": ""https://waterfall.io"", ""quote"": ""Access to Waterfall.io API requires partner application review and commercial agreement."", ""retrieved_at"": ""2026-09-24T19:13:07.915676+00:00""}]"
60,Clay,"Data, SEO and Scraping",clay.com,Data enrichment and automated sales prospecting platform.,"[""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Clay supports api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://clay.com/docs"", ""quote"": ""Clay provides webhook and REST API capabilities authenticated with account keys."", ""retrieved_at"": ""2026-09-24T19:13:09.368101+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://clay.com/docs"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Clay API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:09.368101+00:00""}]"
61,GitHub,"Developer, Infra and Data platforms",docs.github.com/rest,Code hosting platform for version control and collaboration.,"[""token"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest"", ""graphql""]",broad,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""GitHub supports token, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api"", ""quote"": ""GitHub REST API supports Personal Access Tokens and OAuth tokens."", ""retrieved_at"": ""2026-09-24T19:13:10.329944+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api"", ""quote"": ""Developers can sign up for a free developer account or trial to generate GitHub API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:10.329944+00:00""}]"
62,Vercel,"Developer, Infra and Data platforms",vercel.com/docs/rest-api,Cloud platform for frontend developers and serverless deployments.,"[""token"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Vercel supports token, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://vercel.com/docs/rest-api#authentication"", ""quote"": ""Vercel REST API uses Bearer authentication tokens."", ""retrieved_at"": ""2026-09-24T19:13:10.953261+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://vercel.com/docs/rest-api#authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Vercel API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:10.953261+00:00""}]"
63,Netlify,"Developer, Infra and Data platforms",docs.netlify.com/api,Cloud hosting and serverless backend services for web applications.,"[""token"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Netlify supports token, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.netlify.com/api/get-started/#authentication"", ""quote"": ""Netlify API uses personal access tokens in the Authorization Bearer header."", ""retrieved_at"": ""2026-09-24T19:13:13.814209+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.netlify.com/api/get-started/#authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Netlify API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:13.814209+00:00""}]"
64,Cloudflare,"Developer, Infra and Data platforms",developers.cloudflare.com/api,"Global cloud network providing security, performance, and edge compute.","[""token"", ""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Cloudflare supports token, api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.cloudflare.com/fundamentals/api/get-started/create-token/"", ""quote"": ""Cloudflare recommends using API Tokens with scoped permissions in the Authorization header."", ""retrieved_at"": ""2026-09-24T19:13:15.940429+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.cloudflare.com/fundamentals/api/get-started/create-token/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Cloudflare API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:15.940429+00:00""}]"
65,Supabase,"Developer, Infra and Data platforms",supabase.com/docs,"Open-source Firebase alternative providing Postgres, Auth, and Storage.","[""api_key"", ""token""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest"", ""graphql""]",broad,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Supabase supports api key, token authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://supabase.com/docs/guides/api#api-keys"", ""quote"": ""Supabase projects provide anon public and service_role secret keys."", ""retrieved_at"": ""2026-09-24T19:13:17.507293+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://supabase.com/docs/guides/api#api-keys"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Supabase API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:17.507293+00:00""}]"
66,Neo4j,"Developer, Infra and Data platforms",neo4j.com/docs/api,Graph database platform for connected data applications.,"[""basic"", ""token""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest"", ""bolt""]",broad,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Neo4j supports basic, token authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://neo4j.com/docs/http-api/current/"", ""quote"": ""Neo4j HTTP API authenticates via Basic Auth (username and password) or Bearer tokens."", ""retrieved_at"": ""2026-09-24T19:13:18.379161+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://neo4j.com/docs/http-api/current/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Neo4j API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:18.379161+00:00""}]"
67,Snowflake,"Developer, Infra and Data platforms",docs.snowflake.com,Cloud data warehouse and analytical compute platform.,"[""oauth2"", ""key_pair""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest"", ""sql""]",broad,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Snowflake supports oauth2, key pair authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.snowflake.com/en/developer-guide/sql-api/authenticating"", ""quote"": ""Snowflake SQL API authenticates using OAuth 2.0 or key pair authentication."", ""retrieved_at"": ""2026-09-24T19:13:21.166129+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.snowflake.com/en/developer-guide/sql-api/authenticating"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Snowflake API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:21.166129+00:00""}]"
68,MongoDB Atlas,"Developer, Infra and Data platforms",mongodb.com/docs/atlas/api,Fully managed cloud database service for modern applications.,"[""digest"", ""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""MongoDB Atlas supports digest, api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://www.mongodb.com/docs/atlas/reference/api-resources-spec/"", ""quote"": ""Atlas Administration API uses HTTP Digest Authentication with public and private API keys."", ""retrieved_at"": ""2026-09-24T19:13:22.690699+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://www.mongodb.com/docs/atlas/reference/api-resources-spec/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate MongoDB Atlas API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:22.690699+00:00""}]"
69,Datadog,"Developer, Infra and Data platforms",docs.datadoghq.com/api,Observability and security monitoring service for cloud applications.,"[""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Datadog supports api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.datadoghq.com/api/latest/authentication/"", ""quote"": ""Datadog requires DD-API-KEY and DD-APPLICATION-KEY headers."", ""retrieved_at"": ""2026-09-24T19:13:25.703036+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.datadoghq.com/api/latest/authentication/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Datadog API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:25.703036+00:00""}]"
70,Sentry,"Developer, Infra and Data platforms",docs.sentry.io/api,Application monitoring and error tracking platform.,"[""token""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Sentry supports token authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.sentry.io/api/auth/"", ""quote"": ""Sentry API authenticates using user or internal integration auth tokens."", ""retrieved_at"": ""2026-09-24T19:13:26.808174+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.sentry.io/api/auth/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Sentry API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:26.808174+00:00""}]"
71,Notion,Productivity and Project Management,developers.notion.com,"Connected workspace for notes, docs, and project management.","[""token"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Notion supports token, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.notion.com/docs/authorization"", ""quote"": ""Notion integrations use Internal Integration Secrets or Public OAuth 2.0."", ""retrieved_at"": ""2026-09-24T19:13:27.146214+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.notion.com/docs/authorization"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Notion API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:27.146214+00:00""}]"
72,Airtable,Productivity and Project Management,airtable.com/developers,Relational spreadsheet-database platform for collaborative workflows.,"[""token"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Airtable supports token, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://airtable.com/developers/web/api/authentication"", ""quote"": ""Airtable uses Personal Access Tokens and OAuth 2.0 Bearer authentication."", ""retrieved_at"": ""2026-09-24T19:13:28.022799+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://airtable.com/developers/web/api/authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Airtable API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:28.022799+00:00""}]"
73,Linear,Productivity and Project Management,developers.linear.app,Issue and project tracking software built for high-performance product teams.,"[""api_key"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""graphql""]",broad,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Linear supports api key, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.linear.app/docs/graphql/working-with-the-graphql-api#authentication"", ""quote"": ""Linear uses personal API keys or OAuth 2.0 access tokens via GraphQL."", ""retrieved_at"": ""2026-09-24T19:13:28.924713+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.linear.app/docs/graphql/working-with-the-graphql-api#authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Linear API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:28.924713+00:00""}]"
74,Jira,Productivity and Project Management,developer.atlassian.com,Issue and agile project tracking software by Atlassian.,"[""basic"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Jira supports basic, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.atlassian.com/cloud/jira/platform/basic-auth-for-rest-apis/"", ""quote"": ""Jira Cloud REST API uses Basic Auth with an email and API token, or OAuth 2.0 (3LO)."", ""retrieved_at"": ""2026-09-24T19:13:30.922095+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.atlassian.com/cloud/jira/platform/basic-auth-for-rest-apis/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Jira API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:30.922095+00:00""}]"
75,Asana,Productivity and Project Management,developers.asana.com,Work management platform for teams to orchestrate tasks and projects.,"[""token"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Asana supports token, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.asana.com/docs/authentication-quick-start"", ""quote"": ""Asana supports Personal Access Tokens (PATs) and OAuth 2.0 for API requests."", ""retrieved_at"": ""2026-09-24T19:13:31.605666+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.asana.com/docs/authentication-quick-start"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Asana API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:31.605666+00:00""}]"
76,Monday.com,Productivity and Project Management,developer.monday.com,"Work operating system for managing workflows, projects, and processes.","[""token"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""graphql""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Monday.com supports token, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.monday.com/api-reference/docs/authentication"", ""quote"": ""Monday.com API uses an API token passed in the Authorization header."", ""retrieved_at"": ""2026-09-24T19:13:31.921589+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.monday.com/api-reference/docs/authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Monday.com API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:31.921589+00:00""}]"
77,ClickUp,Productivity and Project Management,clickup.com/api,"All-in-one productivity platform for tasks, docs, and goal tracking.","[""api_key"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""ClickUp supports api key, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://clickup.com/api/developer-portal/authentication/"", ""quote"": ""ClickUp supports personal API keys and OAuth 2.0 authorization."", ""retrieved_at"": ""2026-09-24T19:13:32.405661+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://clickup.com/api/developer-portal/authentication/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate ClickUp API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:32.405661+00:00""}]"
78,Coda,Productivity and Project Management,coda.io/developers,"All-in-one collaborative doc that brings words, data, and teams together.","[""token""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Coda supports token authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://coda.io/developers/apis/v1#section/Authentication"", ""quote"": ""Coda API uses API tokens supplied as Bearer tokens in the Authorization header."", ""retrieved_at"": ""2026-09-24T19:13:33.308293+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://coda.io/developers/apis/v1#section/Authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Coda API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:33.308293+00:00""}]"
79,Smartsheet,Productivity and Project Management,smartsheet.com/developers,Enterprise work management and spreadsheet platform.,"[""token"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Smartsheet supports token, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://smartsheet.redoc.ly/#section/Authentication"", ""quote"": ""Smartsheet API uses Bearer authentication with an access token or OAuth 2.0."", ""retrieved_at"": ""2026-09-24T19:13:35.308679+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://smartsheet.redoc.ly/#section/Authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Smartsheet API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:35.308679+00:00""}]"
80,Harvest,Productivity and Project Management,harvestapp.com,Time tracking and expense management software.,"[""token"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,none_found,buildable_now,none,low,needs_review,help.getharvest.com/api-v2,"[{""field"": ""auth_methods"", ""claim"": ""Harvest supports token, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://help.getharvest.com/api-v2/authentication-api/overview/authentication/"", ""quote"": ""Harvest API v2 supports Personal Access Tokens and OAuth 2.0 with Harvest-Account-Id."", ""retrieved_at"": ""2026-09-24T19:13:37.329739+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://help.getharvest.com/api-v2/authentication-api/overview/authentication/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Harvest API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:37.329739+00:00""}]"
81,Stripe,Finance and Fintech,stripe.com/docs/api,Financial infrastructure and payment processing platform.,"[""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Stripe supports api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.stripe.com/api/authentication"", ""quote"": ""Authenticate your API requests by including your secret API key in the Authorization header."", ""retrieved_at"": ""2026-09-24T19:13:38.294214+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.stripe.com/api/authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Stripe API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:38.294214+00:00""}]"
82,Plaid,Finance and Fintech,plaid.com/docs,Data network powering fintech products by connecting bank accounts.,"[""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Plaid supports api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://plaid.com/docs/api/tokens/"", ""quote"": ""Plaid API uses client_id and secret fields included directly in JSON request bodies."", ""retrieved_at"": ""2026-09-24T19:13:40.157726+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://plaid.com/docs/api/tokens/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Plaid API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:40.157726+00:00""}]"
